county_name,hosp_adm_count_year,hosp_adm_count,stgh_hosp_count,stnglth_hosp_count,sth_comn_hosp_count,census_year,census_count,popn_est_year,popn_est_count
Somerset,2021,2108,2108,0,2108,2010,52228,2022,51098
Somerset,2021,2108,2108,0,2108,2010,52228,2021,50592
Somerset,2020,2044,2044,0,2044,2020,50477,2022,51098
Somerset,2020,2044,2044,0,2044,2020,50477,2021,50592
Somerset,2020,2044,2044,0,2044,2010,52228,2022,51098
Somerset,2020,2044,2044,0,2044,2010,52228,2021,50592
Waldo,2021,1122,1122,0,1122,2020,39607,2022,40241
Waldo,2021,1122,1122,0,1122,2020,39607,2021,39912
Waldo,2021,1122,1122,0,1122,2010,38786,2022,40241
Waldo,2021,1122,1122,0,1122,2010,38786,2021,39912
Waldo,2020,1106,1106,0,1106,2020,39607,2022,40241
Waldo,2020,1106,1106,0,1106,2020,39607,2021,39912
Waldo,2020,1106,1106,0,1106,2010,38786,2022,40241
Waldo,2020,1106,1106,0,1106,2010,38786,2021,39912
Washington,2021,1115,1115,0,1115,2020,31095,2022,31437
Washington,2021,1115,1115,0,1115,2020,31095,2021,31121
Washington,2021,1115,1115,0,1115,2010,32856,2022,31437
Washington,2021,1115,1115,0,1115,2010,32856,2021,31121
Washington,2020,1214,1214,0,1214,2020,31095,2022,31437
Washington,2020,1214,1214,0,1214,2020,31095,2021,31121
Washington,2020,1214,1214,0,1214,2010,32856,2022,31437
Washington,2020,1214,1214,0,1214,2010,32856,2021,31121
York,2021,9269,9269,0,9269,2020,211972,2022,216732
York,2021,9269,9269,0,9269,2020,211972,2021,214591
York,2021,9269,9269,0,9269,2010,197131,2022,216732
York,2021,9269,9269,0,9269,2010,197131,2021,214591
York,2020,9293,9293,0,9293,2020,211972,2022,216732
York,2020,9293,9293,0,9293,2020,211972,2021,214591
York,2020,9293,9293,0,9293,2010,197131,2022,216732
York,2020,9293,9293,0,9293,2010,197131,2021,214591
